mdot_r,Q_r,Qdot_r
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1179.9,4.48E+08,1092500
1026,3.90E+08,950000
1026,3.90E+08,950000
1026,3.90E+08,950000
1026,3.90E+08,950000
1026,3.90E+08,950000
1026,3.90E+08,950000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
1265.4,4.81E+08,1171666.667
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
957.6,3.64E+08,886666.6667
1231.2,4.68E+08,1140000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
923.4,3.51E+08,855000
1077.3,4.09E+08,997500
1077.3,4.09E+08,997500
1077.3,4.09E+08,997500
1077.3,4.09E+08,997500
1077.3,4.09E+08,997500
1077.3,4.09E+08,997500
1265.4,4.81E+08,1171666.667
1265.4,4.81E+08,1171666.667
1265.4,4.81E+08,1171666.667
1265.4,4.81E+08,1171666.667
1265.4,4.81E+08,1171666.667
1265.4,4.81E+08,1171666.667
1446.66,5.50E+08,1339500
1446.66,5.50E+08,1339500
1446.66,5.50E+08,1339500
1446.66,5.50E+08,1339500
1446.66,5.50E+08,1339500
1446.66,5.50E+08,1339500
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100
1454.868,5.53E+08,1347100

