mdot_s,Q_s,Qdot_s
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
500,152000000,253333.3333
500,152000000,253333.3333
500,152000000,253333.3333
500,152000000,253333.3333
500,152000000,253333.3333
500,152000000,253333.3333
500,152000000,253333.3333
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
450,136800000,228000
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
950,288800000,481333.3333
500,152000000,253333.3333
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
1000,304000000,506666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
700,212800000,354666.6667
600,182400000,304000
600,182400000,304000
600,182400000,304000
600,182400000,304000
600,182400000,304000
600,182400000,304000
100,30400000,50666.66667
100,30400000,50666.66667
100,30400000,50666.66667
100,30400000,50666.66667
100,30400000,50666.66667
100,30400000,50666.66667
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
